Orthogroup	Mbovis	Mavium
OG0000330	ALV12558.1	AAS02715.1, AAS02399.1
OG0000331	ALV12595.1	AAS02635.1, AAS04338.1
OG0000332	ALV12636.1	AAS02573.1, AAS06628.1, AAS06629.1
OG0000333	ALV12667.1	AAS02538.1, AAS04689.1
OG0000334	ALV12668.1	AAS02537.1
OG0000335	ALV12717.1	AAS02496.1
OG0000342	ALV09281.1	AAS02318.1
OG0000343	ALV09282.1	AAS02319.1
OG0000344	ALV09283.1	AAS02320.1
OG0000345	ALV09284.1	AAS02321.1
OG0000346	ALV12767.1	AAS02322.1
OG0000347	ALV09285.1	AAS02323.1
OG0000348	ALV09289.1	AAS02328.1
OG0000349	ALV09290.1	AAS02330.1
OG0000350	ALV09292.1	AAS02332.1
OG0000351	ALV09293.1	AAS02333.1
OG0000352	ALV09294.1	AAS02335.1
OG0000353	ALV09295.1	AAS02336.1
OG0000354	ALV09296.1	AAS02337.1
OG0000355	ALV09297.1	AAS02338.1
OG0000356	ALV09298.1	AAS02339.1
OG0000357	ALV09299.1	AAS02340.1
OG0000358	ALV09303.1	AAS02353.1
OG0000359	ALV12770.1	AAS02362.1
OG0000360	ALV09316.1	AAS02364.1
OG0000361	ALV09317.1	AAS02365.1
OG0000362	ALV09318.1	AAS02367.1
OG0000363	ALV09320.1	AAS06306.1, AAS02371.1
OG0000364	ALV09323.1	AAS02378.1
OG0000365	ALV09325.1	AAS02380.1
OG0000366	ALV09326.1	AAS02381.1
OG0000367	ALV09327.1	AAS02382.1
OG0000368	ALV09329.1	AAS02384.1
OG0000369	ALV09330.1	AAS02385.1
OG0000370	ALV09331.1	AAS02386.1
OG0000371	ALV09332.1	AAS02387.1
OG0000372	ALV09333.1	AAS02388.1
OG0000373	ALV09343.1	AAS06006.1
OG0000374	ALV09351.1	AAS05688.1, AAS03035.1
OG0000375	ALV09375.1	AAS04614.1
OG0000376	ALV09379.1	AAS06297.1, AAS06320.1
OG0000377	ALV09380.1	AAS06048.1
OG0000378	ALV12777.1	AAS06064.1
OG0000379	ALV09386.1	AAS05799.1, AAS03254.1
OG0000380	ALV12778.1	AAS06070.1
OG0000381	ALV12781.1	AAS06074.1
OG0000382	ALV09394.1	AAS06077.1
